Chapter number,Macro book,Era,13-chapter cluster,10-chapter Walter cycle,Year or approximate year,Location,POV character or artifact type,Chapter title,Word target,Immediate human conflict,World-system advanced,Walter visible or invisible role,Canon event touched,Divergence status,New lore introduced,Character introduced or developed,Consequence seeded,Payoff target chapter,Editing warning
157,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.01 Opening pressure,Walter-shadow 7/9,136,Volantis,maester dissenter,The Boy Who Would Not Be Owned: Opening pressure,750,"maester dissenter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Volantis.,maester dissenter developed; tie to Volantis and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 157 returns with altered stakes.",Ch. 209,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
158,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.02 Local character introduced,Walter-shadow 8/9,137,Long Bridge,septa teacher,The Boy Who Would Not Be Owned: Local character introduced,750,"septa teacher needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,septa teacher developed; tie to Long Bridge and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 158 returns with altered stakes.",Ch. 223,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
159,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.03 Material system problem,Walter-shadow 9/9,137,dye house,river farmer,The Boy Who Would Not Be Owned: Material system problem,750,"river farmer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to dye house.,river farmer developed; tie to dye house and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 159 returns with altered stakes.",Ch. 237,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
160,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.04 Social consequence,Walter POV,137,harbor records office,Walter White,The Boy Who Would Not Be Owned: Social consequence,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,Direct interior decision reframes prior nine chapters.,None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,Walter White developed; tie to harbor records office and war and security.,"A material habit, debt, enemy, record, or route from chapter 160 returns with altered stakes.",Ch. 251,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
161,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.05 Hidden Walter effect,Walter-shadow 1/9,137,quarantine yard,dragon safety handler,The Boy Who Would Not Be Owned: Hidden Walter effect,750,"dragon safety handler needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,dragon safety handler developed; tie to quarantine yard and health and biology.,"A material habit, debt, enemy, record, or route from chapter 161 returns with altered stakes.",Ch. 174,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
162,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.06 Unexpected cost,Walter-shadow 2/9,137,Volantis,public-health inspector,The Boy Who Would Not Be Owned: Unexpected cost,750,"public-health inspector needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Volantis.,public-health inspector developed; tie to Volantis and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 162 returns with altered stakes.",Ch. 188,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
163,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.07 Counterforce reaction,Walter-shadow 3/9,137,Long Bridge,charter voter,The Boy Who Would Not Be Owned: Counterforce reaction,750,"charter voter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,charter voter developed; tie to Long Bridge and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 163 returns with altered stakes.",Ch. 202,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
164,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.08 Adaptation,Walter-shadow 4/9,137,dye house,archive student,The Boy Who Would Not Be Owned: Adaptation,750,"archive student needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to dye house.,archive student developed; tie to dye house and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 164 returns with altered stakes.",Ch. 216,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
165,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.09 Partial victory,Walter-shadow 5/9,137,harbor records office,sky-yard riveter,The Boy Who Would Not Be Owned: Partial victory,750,"sky-yard riveter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to harbor records office.,sky-yard riveter developed; tie to harbor records office and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 165 returns with altered stakes.",Ch. 230,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
166,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.10 Walter chapter / shadow reveal,Walter-shadow 6/9,137,quarantine yard,slave laundress,The Boy Who Would Not Be Owned: Walter chapter / shadow reveal,750,"slave laundress needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to quarantine yard.,slave laundress developed; tie to quarantine yard and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 166 returns with altered stakes.",Ch. 244,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
167,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.11 Second-order consequence,Walter-shadow 7/9,138,Volantis,temple slave novice,The Boy Who Would Not Be Owned: Second-order consequence,750,"temple slave novice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Volantis.,temple slave novice developed; tie to Volantis and war and security.,"A material habit, debt, enemy, record, or route from chapter 167 returns with altered stakes.",Ch. 258,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
168,Book I: Chains,Era 2: The Boy Who Would Not Be Owned,13.12 Moral complication,Walter-shadow 8/9,138,Long Bridge,dock ration clerk,The Boy Who Would Not Be Owned: Moral complication,750,"dock ration clerk needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Long Bridge.,dock ration clerk developed; tie to Long Bridge and health and biology.,"A material habit, debt, enemy, record, or route from chapter 168 returns with altered stakes.",Ch. 181,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
